country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-01,-77,-63,0,-72,-89,31
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-02,-58,-37,9,-54,-41,11
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-03,-47,-22,50,-43,-23,6
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-04,-40,-19,-8,-47,-41,15
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-05,-40,-18,0,-47,-41,14
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-06,-39,-16,0,-46,-40,14
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-07,-41,-13,-5,-47,-41,15
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-08,-39,-11,-2,-47,-39,15
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-09,-47,-18,11,-44,-25,9
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-10,-44,-16,50,-40,-19,5
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-11,-37,-17,2,-44,-38,14
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-12,-39,-17,-5,-47,-40,14
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-13,-39,-17,2,-45,-39,13
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-14,-41,-14,-10,-48,-40,13
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-15,-42,-16,-19,-51,-40,15
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-16,-50,-24,-12,-50,-26,9
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-17,-49,-24,16,-48,-21,5
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-18,-41,-22,-18,-48,-41,14
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-19,-41,-20,-7,-48,-41,13
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-20,-42,-21,-12,-48,-40,14
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-21,-43,-17,-16,-48,-40,14
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-22,-40,-14,-15,-49,-39,15
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-23,-45,-19,5,-45,-22,7
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-24,-46,-21,17,-48,-19,5
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-25,-40,-20,-16,-47,-39,14
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-26,-42,-21,-18,-50,-40,14
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-27,-42,-21,-17,-48,-39,14
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-28,-41,-16,-10,-46,-39,14
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-29,-40,-15,-15,-48,-38,14
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-30,-48,-21,-3,-46,-21,7
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-01-31,-41,-16,49,-37,-14,3
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-01,-39,-20,-6,-46,-39,13
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-02,-41,-20,-9,-48,-40,13
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-03,-41,-20,-2,-47,-39,13
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-04,-42,-18,-17,-50,-39,14
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-05,-40,-15,-10,-48,-38,14
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-06,-47,-21,-4,-47,-22,8
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-07,-43,-19,35,-44,-18,4
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-08,-39,-20,-20,-50,-39,14
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-09,-39,-17,-17,-50,-39,14
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-10,-39,-18,-17,-49,-39,13
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-11,-39,-14,-18,-48,-39,14
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-12,-37,-11,-16,-47,-38,14
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-13,-41,-15,-4,-47,-21,6
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-14,-32,-8,47,-38,-13,3
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-15,-37,-19,-9,-47,-38,13
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-16,-37,-15,-2,-47,-38,12
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-17,-37,-16,-8,-46,-37,13
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-18,-41,-14,-21,-49,-38,14
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-19,-36,-10,-11,-47,-37,14
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-20,-41,-15,5,-43,-19,6
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-21,-36,-11,57,-38,-12,2
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-22,-34,-14,4,-44,-37,12
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-23,-36,-13,-11,-46,-37,12
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-24,-37,-16,-6,-46,-36,12
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-25,-37,-10,-3,-44,-36,12
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-26,-34,-8,-4,-44,-35,13
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-27,-36,-10,27,-38,-15,4
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-02-28,-33,-8,66,-35,-8,2
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-01,-32,-14,12,-42,-35,11
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-02,-32,-11,20,-42,-35,11
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-03,-33,-13,6,-43,-35,11
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-04,-35,-9,-5,-43,-35,12
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-05,-31,-5,-8,-43,-34,12
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-06,-36,-10,1,-42,-16,5
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-07,-34,-7,11,-43,-9,3
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-08,-23,1,-10,-41,-35,11
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-09,-35,-14,-4,-46,-36,12
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-10,-34,-12,-6,-44,-35,12
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-11,-34,-7,-16,-44,-35,12
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-12,-34,-7,-22,-46,-35,13
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-13,-38,-10,-10,-43,-15,6
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-14,-35,-9,27,-41,-10,3
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-15,-29,-10,5,-42,-36,11
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-16,-29,-7,24,-41,-38,10
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-17,-30,-9,11,-42,-37,11
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-18,-31,-5,6,-41,-37,11
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-19,-29,-3,0,-42,-36,12
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-20,-35,-8,5,-40,-14,4
LV,Latvia,,,,,,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,2021-03-21,-33,-7,33,-39,-9,3
LV,Latvia,Ādaži Municipality,,,LV-011,,ChIJaY5J1d217kYR0AHzaM3PAAM,2021-01-01,,,,,-91,
LV,Latvia,Ādaži Municipality,,,LV-011,,ChIJaY5J1d217kYR0AHzaM3PAAM,2021-01-04,,,,,-43,
LV,Latvia,Ādaži Municipality,,,LV-011,,ChIJaY5J1d217kYR0AHzaM3PAAM,2021-01-05,,,,,-45,
LV,Latvia,Ādaži Municipality,,,LV-011,,ChIJaY5J1d217kYR0AHzaM3PAAM,2021-01-06,,,,,-44,
LV,Latvia,Ādaži Municipality,,,LV-011,,ChIJaY5J1d217kYR0AHzaM3PAAM,2021-01-07,,,,,-47,
LV,Latvia,Ādaži Municipality,,,LV-011,,ChIJaY5J1d217kYR0AHzaM3PAAM,2021-01-08,,,,,-43,
LV,Latvia,Ādaži Municipality,,,LV-011,,ChIJaY5J1d217kYR0AHzaM3PAAM,2021-01-11,,,,,-43,
LV,Latvia,Ādaži Municipality,,,LV-011,,ChIJaY5J1d217kYR0AHzaM3PAAM,2021-01-12,,,,,-47,
LV,Latvia,Ādaži Municipality,,,LV-011,,ChIJaY5J1d217kYR0AHzaM3PAAM,2021-01-13,,,,,-46,
LV,Latvia,Ādaži Municipality,,,LV-011,,ChIJaY5J1d217kYR0AHzaM3PAAM,2021-01-14,,,,,-46,
LV,Latvia,Ādaži Municipality,,,LV-011,,ChIJaY5J1d217kYR0AHzaM3PAAM,2021-01-15,,,,,-47,
LV,Latvia,Ādaži Municipality,,,LV-011,,ChIJaY5J1d217kYR0AHzaM3PAAM,2021-01-18,,,,,-45,
LV,Latvia,Ādaži Municipality,,,LV-011,,ChIJaY5J1d217kYR0AHzaM3PAAM,2021-01-19,,,,,-47,
LV,Latvia,Ādaži Municipality,,,LV-011,,ChIJaY5J1d217kYR0AHzaM3PAAM,2021-01-20,,,,,-45,
LV,Latvia,Ādaži Municipality,,,LV-011,,ChIJaY5J1d217kYR0AHzaM3PAAM,2021-01-21,,,,,-49,
